Name_Orig,Lat_Orig,Lng_Orig,Name_Des,Lat_Des,Lng_Des
"Torrance, CA",,,"Paso Robles, CA",,
"Torrance, CA",,,"Mobile, AL",,
"Torrance, CA",,,"Anaheim, CA",,
"Torrance, CA",,,"Reno, NV",,
"Torrance, CA",,,"Avalon, CA",,
"Torrance, CA",,,"Coronado, CA",,
"Torrance, CA",,,Sequoia National Park,,
"Torrance, CA",,,Yosemite National Park,,
"Torrance, CA",,,"Thousand Oaks, CA",,
"Torrance, CA",,,Zion National Park,,
Zion National Park,,,"Denver, CO",,
"Denver, CO",,,"Manhattan, KS",,
"Manhattan, KS",,,"St. Louis, MO",,
"St. Louis, MO",,,"Chicago, IL",,
"Chicago, IL",,,"South Bend, IN",,
"South Bend, IN",,,"Columbus, OH",,
"Columbus, OH",,,"Wellfleet, MA",,
"Wellfleet, MA",,,"Boston, MA",,
"Columbus, OH",,,"South Bend, IN",,
"Columbus, OH",,,"Dublin, Ireland",,
"Columbus, OH",,,"Fort Worth, TX",,
"Columbus, OH",,,"Wooster, OH",,
"Columbus, OH",,,"Gambier, OH",,
"Columbus, OH",,,"Norwalk, CT",,
