Name_Orig,Lat_Orig,Lng_Orig,Name_Des,Lat_Des,Lng_Des
"Columbus, OH",,,"Hotel de Rome, Berlin, Germany",,
"Berlin, Germany",,,"Cathedrale Notre-Dame de Paris, Paris, France",,
"Paris, France",,,Cathedrale Notre-Dame de Chartres,,
"Paris, France",,,"Columbus, OH",,
"Columbus, OH",,,"Paso Robles, CA",,
"Paso Robles, CA",,,"Dallas, TX",,
"Dallas, TX",,,"Columbus, OH",,
"Columbus, OH",,,"Austin, TX",,
"Columbus, OH",,,"Reno, NV",,
"Reno, NV",,,"Incline Village, NV",,
"Columbus, OH",,,"Utica, OH",,
"Oakland, CA",,,"Yosemite National Park, California",,
"Columbus, OH",,,"South Bend, IN",,
"Columbus, OH",,,"Ossining, NY",,
"Columbus, OH",,,"Wooster, OH",,
"Columbus, OH",,,"Fort Worth, TX",,
"Columbus, OH",,,"Cincinnati, OH",,
"Columbus, OH",,,"Dublin, Ireland",,
"Columbus, OH",,,"Oakland, CA",,
"Oakland, CA",,,"Paso Robles, CA",,
"Paso Robles, CA",,,"Palm Springs, CA",,
"Paso Robles, CA",,,"Monterey, CA",,
