Year,Name_Orig,Lat_Orig,Lng_Orig,Name_Des,Lat_Des,Lng_Des,Distance (nm),Distance (mi),Distance (km)
2015,"Torrance, CA",33.8358,-118.3406,"South Bend, IN",41.702,-86.239,0,0,0
2015,"Torrance, CA",33.8358,-118.3406,"South Bend, IN",41.702,-86.239,0,0,0
2015,"Torrance, CA",33.8358,-118.3406,"Waco, TX",31.5493,-97.1467,0,0,0
2015,"Waco, TX",31.5493,-97.1467,"McGregor, TX",31.4441,-97.4092,0,0,0
2015,"Torrance, CA",33.8358,-118.3406,"St. Petersburg, FL",27.7676,-82.6403,0,0,0
2015,"Torrance, CA",33.8358,-118.3406,"South Bend, IN",41.702,-86.239,0,0,0
2015,"Torrance, CA",33.8358,-118.3406,"Columbus, OH",39.9612,-82.9988,0,0,0
2015,"Torrance, CA",33.8358,-118.3406,"San Francisco, CA",37.7749,-122.4194,0,0,0
2015,"Torrance, CA",33.8358,-118.3406,"Paso Robles, CA",35.637,-120.655,0,0,0
2015,"Torrance, CA",33.8358,-118.3406,"Paso Robles, CA",35.637,-120.655,0,0,0
2015,"Paso Robles, CA",35.637,-120.655,"Palo Alto, CA",37.4419,-122.143,0,0,0
2015,"Torrance, CA",33.8358,-118.3406,"Paso Robles, CA",35.637,-120.655,0,0,0
2015,"Torrance, CA",33.8358,-118.3406,"South Bend, IN",41.702,-86.239,0,0,0
2015,"Torrance, CA",33.8358,-118.3406,"Columbus, OH",39.9612,-82.9988,0,0,0
2015,"Torrance, CA",33.8358,-118.3406,"Paso Robles, CA",35.637,-120.655,0,0,0
2016,"Torrance, CA",33.836,-118.341,"Paso Robles, CA",35.637,-120.655,157.2,181,291.2
2016,"Torrance, CA",33.836,-118.341,"Mobile, AL",30.695,-88.04,1547.4,1780.7,2865.7
2016,"Torrance, CA",33.836,-118.341,"Anaheim, CA",33.835,-117.915,21.3,24.5,39.4
2016,"Torrance, CA",33.836,-118.341,"Sacramento, CA",38.582,-121.494,322.9,371.6,598
2016,"Sacramento, CA",38.582,-121.494,"Reno, NV",39.53,-119.814,96.9,111.6,179.5
2016,"Torrance, CA",33.836,-118.341,"Avalon, CA",33.343,-118.328,29.5,34,54.7
2016,"Torrance, CA",33.836,-118.341,"Coronado, CA",32.686,-117.183,90.2,103.8,167
2016,"Torrance, CA",33.836,-118.341,Sequoia National Park,36.486,-118.566,159.2,183.2,294.8
2016,Sequoia National Park,36.486,-118.566,Yosemite National Park,37.865,-119.538,94.9,109.2,175.7
