Name_Orig,Lat_Orig,Lng_Orig,Name_Des,Lat_Des,Lng_Des,Distance (nm),Distance (mi),Distance (km)
"Columbus, OH",39.961,-82.999,"Port Orange, FL",29.1383,-80.9956,0,0,0
"Port Orange, FL",29.1383,-80.9956,"Kennedy Space Center, FL",28.5729,-80.649,0,0,0
"Columbus, OH",39.961,-82.999,"Phoenix, AZ",33.4484,-112.074,0,0,0
"Columbus, OH",39.961,-82.999,"Las Vegas, NV",36.1699,-115.1398,0,0,0
"Las Vegas, NV",36.1699,-115.1398,"San Francisco, CA",37.7749,-122.4194,0,0,0
"San Francisco, CA",37.7749,-122.4194,"Paso Robles, CA",35.637,-120.655,0,0,0
"Columbus, OH",39.961,-82.999,"Orlando, FL",28.5383,-81.3792,0,0,0
"Columbus, OH",39.961,-82.999,"Denver, CO",39.7392,-104.9903,0,0,0
"Columbus, OH",39.961,-82.999,"Dublin, Ireland",53.35,-6.26,0,0,0
"Dublin, Ireland",53.35,-6.26,"Shanon, Ireland",52.7125,-8.8731,0,0,0
"Shanon, Ireland",52.7125,-8.8731,"Columbus, OH",39.961,-82.999,0,0,0
"Columbus, OH",39.961,-82.999,"Stavanger, Norway",58.97,5.7331,0,0,0
"Stavanger, Norway",58.97,5.7331,"Dublin, Ireland",53.35,-6.26,0,0,0
"Dublin, Ireland",53.35,-6.26,"Shanon, Ireland",52.7125,-8.8731,0,0,0
"Columbus, OH",39.961,-82.999,"Cleveland, OH",41.4993,-81.6944,0,0,0
"Columbus, OH",39.961,-82.999,"Washington, D.C.",38.888,-77.004,0,0,0
"Columbus, OH",39.961,-82.999,"Philadelphia, PA",39.9526,-75.1652,0,0,0
"Columbus, OH",39.961,-82.999,"South Bend, IN",41.702,-86.239,0,0,0
"Columbus, OH",39.961,-82.999,"Los Angeles, CA",33.9416,-118.4085,0,0,0
"Los Angeles, CA",33.9416,-118.4085,"Palm Springs, CA",33.8303,-116.5453,0,0,0
"Palm Springs, CA",33.8303,-116.5453,"Paso Robles, CA",35.637,-120.655,0,0,0
"Paso Robles, CA",35.637,-120.655,"Paso Robles, CA",35.637,-120.655,0,0,0
"Paso Robles, CA",35.637,-120.655,"Montana De Oro, CA",35.2723,-120.8868,0,0,0
"Paso Robles, CA",35.637,-120.655,"Los Angeles, CA",33.9416,-118.4085,0,0,0
